"ERB_CASA";"QTDE_LNHA_POS";"QTDE_LNHA_CTRL";"QTDE_LNHA_PRE";"X";"Y";"ANOMES"
"GOAFA";2;13;16;-50,487231;-16,349845;202601
"GOVLS";382;3054;2359;-48,513594;-16,744233;202601
"GOJDI";201;956;627;-48,938653;-16,284475;202601
"GOBAV";104;736;517;-49,182;-16,638;202601
"GOROS";721;1198;603;-49,295061;-16,742172;202601
"GOCBB";6;22;67;-46,643;-12,99324;202601
"GOGED";231;887;1197;-49,31679;-16,60568;202601
"GONOR";200;536;331;-49,306217;-16,666675;202601
"GOARS";145;801;608;-52,248194;-15,903194;202601
"GOJAB";380;3422;2131;-51,715554;-17,864017;202601
"GONJB";61;499;294;-48,055175;-16,0547;202601
"GO1F3";10;33;78;-49,25662;-16,65971;202601
"GOABG";234;1554;1229;-49,438972;-16,762306;202601
"GOGGM";59;282;178;-48,086028;-18,129639;202601
"GOSMR";513;158;76;-49,257611;-16,698167;202601
"GOGDB";434;1031;402;-49,2455;-16,6295;202601
"GOIPM";630;2968;1167;-48,160261;-17,721297;202601
"GOSDG";19;378;587;-46,344583;-13,40525;202601
"GOFIO";482;828;472;-50,937222;-17,8175;202601
"GOARP";19;115;241;-50,62575;-15,09325;202601
"GOJPM";190;592;477;-49,268053;-16,659981;202601
"GOSBA";145;1915;1508;-49,693972;-16,575083;202601
"GOSPD";131;1960;1825;-51,95866;-18,30966;202601
"GOC64";684;834;454;-49,297483;-16,694756;202601
"GOIIB";17;313;322;-49,790769;-15,925811;202601
"GO8XB";0;1;3;-50,449;-18,448639;202601
"GOJA1";268;345;188;-49,290289;-16,709203;202601
"GOPQD";280;357;187;-49,280394;-16,720128;202601
"GODSG";109;1183;1398;-47,574389;-15,232194;202601
"GOGNB";114;534;354;-49,208981;-16,61494;202601
"GOVCZ";133;691;560;-49,386661;-16,661233;202601
"GOGDG";28;762;1383;-46,480803;-13,9435;202601
"GOSTO";818;471;163;-49,267833;-16,679778;202601
"GOURH";752;1476;1021;-49,272711;-16,640811;202601
"GOAJV";112;896;835;-49,302;-16,795;202601
"GOFSM";21;239;218;-48,604556;-15,939611;202601
"GOLGR";673;290;88;-49,273367;-16,685122;202601
"GOPAE";23;98;68;-52,258056;-17,534778;202601
"GOMGS";15;50;46;-50,215192;-16,131806;202601
"GOICI";133;2199;2070;-49,571639;-14,972553;202601
"GOAJI";145;1014;663;-49,267569;-16,822697;202601
"GOVCA";8;226;214;-48,397216;-16,906304;202601
"GOCTD";177;520;340;-48,634;-17,728333;202601
"GOJUD";471;670;275;-48,942558;-16,332061;202601
"GOAMP";203;857;737;-49,288306;-16,781444;202601
"GOBGS";111;799;593;-48,835731;-17,096633;202601
"GOJL2";71;602;392;-47,916836;-16,224156;202601
"GOPQS";360;2526;1471;-47,973958;-16,110658;202601
"GOACA";211;811;610;-49,2176;-16,7371;202601
"GOGCO";67;504;950;-49,404219;-16,5373;202601
"GOGRC";57;507;547;-49,38532;-16,77898;202601
"GOVNA";521;1120;435;-49,234319;-16,6627;202601
"GOJIU";692;1900;975;-51,717283;-17,883039;202601
"GO8YG";19;170;134;-48,263889;-15,741111;202601
"GOJTC";688;1590;823;-51,725;-17,891333;202601
"GOPGF";3;6;23;-49,156254;-13,455395;202601
"GOOMO";108;406;402;-49,269139;-16,546019;202601
"GOVUN";107;583;463;-48,986522;-16,361986;202601
"GOAPN";161;1165;987;-49,312687;-16,80164;202601
