"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size","Platform Type"
"val_signal_csi_snr_db","CSI signal-to-noise and interference ratio (CSI-SNR)The linear average over the power contribution (in [W]) of the resource elements carrying CSI reference signals divided by the linear average of the noise and interference power contribution (in [W]). Reference: 3GPP TS 38.215.Range: [-30, +30], where -30 is poor and +30 is best","integer","2025-10-24","16","Mobile"
"val_signal_csi_rsrp_dbm","CSI Reference Signal Received Power (CSI-RSRP)The linear average over the power contributions (in [W]) of the resource elements of the antenna port(s) that carry CSI reference signals configured for RSRP measurements within the considered measurement frequency bandwidth in the configured CSI-RS occasions. Reference: 3GPP TS 38.215.Range: [-40, -140], where -140 is poor and -44 is best","integer","2025-10-24","16","Mobile"
"val_signal_csi_rsrq_db","CSI Reference Signal Received Quality (CSI-RSRQ)The ratio of N×CSI-RSRP to CSI-RSSI, where N is the number of resource blocks in the CSI-RSSI measurement bandwidth. Reference: 3GPP TS 38.215.Range: [-20, -3] where -20 is poor and -3 is best","integer","2025-10-24","8","Mobile"
"val_signal_ss_snr_dbm","The SS SINR. 3GPP TS 28.215 Sec 5.1,*, 3GPP TS 38.133 10.1.16.1","integer","2025-10-24","8","Mobile"
"val_signal_ss_rsrp_dbm","Synchronization Signal Reference Signal Received Power (SS-RSRP)The linear average over the power contributions (in [W]) of the resource elements that carry secondary synchronization signals. Reference: 3GPP TS 38.215.[-40, -140], where -140 is poor and -44 is best","integer","2025-10-24","16","Mobile"
"val_signal_ss_rsrq_db","Synchronization Signal Reference Signal Received Quality (SS-RSRQ)The ratio of N×SS-RSRP / NR carrier RSSI, where N is the number of resource blocks in the NR carrier RSSI measurement bandwidth. Reference: 3GPP TS 38.215.Range: [-20, -3] where -20 is poor and -3 is best","integer","2025-10-24","8","Mobile"
"attr_vops_support","Indicates if network supports VoPS; values include 1 = LTE_STATUS_NOT_AVAILABLE, 2 = LTE_STATUS_SUPPORTED, 3 = LTE_STATUS_NOT_SUPPORTED","integer","2025-10-24","1","Mobile + Wifi"
"attr_cell_bands","An array of band numbers or empty array if not available.","text","2025-10-24","100","Mobile"
"attr_location_latitude","The latitude of the device conducting the test. If location type equals 2, this value is approximate.","float","2025-10-24","10","Mobile + Wifi"
"attr_location_longitude","The longitude of the device conducting the test. If location type equals 2, this value is approximate.","float","2025-10-24","10","Mobile + Wifi"
"id_location_type","How the user location coordinates were determined: 1 = GPS / Fused location 2 = GeoIP","integer","2025-10-24","1","Mobile + Wifi"
"attr_location_age_ms","Indicates the time elapsed (in ms) from when the user's location information was collected and the test was taken.","integer","2025-10-24","11","Mobile + Wifi"
"attr_location_accuracy_m","The accuracy of the location data collected from the device expressed in meters.","float","2025-10-24","5","Mobile + Wifi"
"attr_location_vertical_accuracy_m","Estimated vertical (altitude) accuracy of this location, in meters.","float","2025-10-24","12","Mobile + Wifi"
"attr_location_altitude_m","The altitude (in meters) above the WGS 84 reference ellipsoid. NULL If this location does not have an altitude value.","float","2025-10-24","12","Mobile + Wifi"
"attr_location_speed_mps","Indicates the speed that the device may have been moving during the test, measured in meters per second.","float","2025-10-24","12","Mobile + Wifi"
"attr_location_speed_accuracy_mps","Estimated location speed accuracy in mps.","float","2025-10-24","14","Mobile + Wifi"
"id_device_sim_slot","The SIM slot associated with data bearing SIM","integer","2025-10-24","1","Mobile + Wifi"
"num_device_sim_slots","The number of SIM slots available in the device","integer","2025-10-24","1","Mobile + Wifi"
"attr_sim_operator_mcc","The mobile country code (MCC) of the SIM card operator.","integer","2025-10-24","3","Mobile + Wifi"
"attr_sim_operator_mnc","The mobile network code (MNC) of the SIM card operator.","integer","2025-10-24","3","Mobile + Wifi"
"attr_altsim_operator_mcc","The mobile country code (MCC) from alternate SIM card when using a dual SIM device.","text","2025-10-24","3","Mobile + Wifi"
"attr_altsim_operator_mnc","The mobile network code (MNC) from alternate SIM card when using a dual SIM device.","text","2025-10-24","3","Mobile + Wifi"
"attr_sim_operator_name_raw","The raw name of the SIM card provider as reported by the device. This will sometimes show the name of the MVNO rather than the carrier that owns the PLMN network.","text","2025-10-24","255","Mobile + Wifi"
"attr_sim_operator_common_name","The Ookla-maintained common name of the SIM card provider. In the case of MVNOs, this will be the name of the carrier that owns the PLMN network.","text","2025-10-24","255","Mobile + Wifi"
"attr_altsim_operator_name_raw","Mobile carrier name from alternate SIM card when using a dual SIM device.","text","2025-10-24","255","Mobile + Wifi"
"attr_network_operator_mnc","The MNC code associated with the connected cell site during the test.","integer","2025-10-24","3","Mobile + Wifi"
"attr_network_operator_mcc","The MCC code associated with the connected cell site during the test.","integer","2025-10-24","3","Mobile + Wifi"
"attr_network_operator_common_name","The Ookla-maintained name of the network operator.","text","2025-10-24","32","Mobile + Wifi"
"attr_network_operator_name_raw","The name of the network operator as returned by the device.","text","2025-10-24","255","Mobile + Wifi"
"attr_network_isp_name","The ISP name as reported by MaxMind.","text","2025-10-24","255","Mobile + Wifi"
"attr_network_country_name","The country where test was taken.","text","2025-10-24","255","Mobile + Wifi"
"attr_connection_downstream_bandwidth_kbps","Downstream bandwidth for the network (in Kbps). This only refers to the estimated first hop transport bandwidth.","integer","2025-10-24","8","Mobile + Wifi"
"attr_connection_upstream_bandwidth_kbps","Upstream bandwidth for the network (in Kbps). This only refers to the estimated first hop transport bandwidth.","integer","2025-10-24","8","Mobile + Wifi"
"val_bytes_received","The bytes received during the test.","integer","2025-10-24","16","Mobile + Wifi"
"val_bytes_sent","The bytes sent during the test.","integer","2025-10-24","16","Mobile + Wifi"
"is_network_vpn","TRUE if the device was connected to a VPN.","boolean","2025-10-24","5","Mobile + Wifi"
"is_network_roaming","TRUE if the device is roaming.","boolean","2025-10-24","5","Mobile + Wifi"
"is_network_international_roaming","TRUE if the device is roaming internationally.","boolean","2025-10-24","5","Mobile + Wifi"
"attr_private_ip_address","The IP address used during testing.","text","2025-10-24","15","Mobile + Wifi"
"attr_server_ipv6_address","The IPv6 address of the server used during testing.","text","2025-10-24","39","Mobile + Wifi"
"attr_network_ipv4_address","This is the IPv4 address from which the request to was generated. The last octet of the user's external IP address is masked for addresses that are not on your network.","text","2025-10-24","15","Mobile + Wifi"
"attr_network_ipv6_address","This is the IPv6 address from which the request to was generated. The last octet of the user's external IP address is masked for addresses that are not on your network.","text","2025-10-24","15","Mobile + Wifi"
"attr_network_asn","The Autonomous System Number (ASN) as reported by MaxMind.","integer","2025-10-24","10","Mobile + Wifi"
"id_connection_network_override_type","Indicates if a network type override occurred. Often associated with the network type icon displayed on the device.0 = no override1 = LTE with carrier aggregation2 = LTE advanced pro3 = NR NSA4 = NR NSA mmWave5 = NR advanced (NR network with data rate that is higher than the generic 5G rate such as mmWave, unique bands, or carrier aggregation)","float","2025-10-24","1","Mobile + Wifi"
"attr_geohash6","Geohash 6 is a unique identifier of an area of 1.2km x 609.4m","text","2025-10-24","6","Mobile + Wifi"
