"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"lac","For GSM and WCDMA technology, the 16-bit integer representing a cell's Location Area Code within the operator's system","number","2022-05-25","5"
"psc","For WCDMA and UMTS technology, the Primary Scrambling Code in the range [0, 512]","number","2022-05-25","5"
"tac","For LTE technology, the 16-bit integer representing the Tracking Area Code that facilitates handoff between cells, and which can be prepended by the operator MCC and MNC to generate the Tracking Area Identity","number","2022-05-25","9"
"pci","For LTE technology, the Physical Cell Identifier in the range [0, 503] that identifies the physical LTE cell the device is connected to","number","2022-05-25","5"
"cell_identifier","The identifier of the cell site the device is connected to, represented by an integer within one of the following ranges, based on technology: GSM (2G): [0, 65535], representing the Base Tranceiver Station Identifier (BTS-ID)UMTS (3G): [0, 268435455], representing the LCIDLTE (4G): [0, 268435455], representing the e-UTRAN Cell Identifier (ECI)","number","2022-05-25","10"
"lte_enodeb","For LTE technology, the 28-bit integer representing the Evolved (E-UTRAN) Node B identifier of the cell site the device is connected to","number","2022-05-25","10"
"rncid","For 3G technology, the 12-bit integer representing the Radio Network Controller Identifier of the cell site that the device is connected to","number","2022-05-25","10"
"cell_id","","number","2022-05-25","10"
"arfcn","For GSM technology, the Absolute Radio-Frequency Channel Number, used to calculate the exact frequency of the radio channel, represented by an integer within one of the following ranges: GSM900: [1, 124]GSM1800: [125, 885]","number","2022-05-25","8"
"uarfcn","For UMTS technology, the 16-bit integer representing the UTRA Absolute Radio-Frequency Channel Number that identifies the channel within the frequency bands used by UMTS UTRA","number","2022-05-25","8"
"earfcn","For LTE technology, the integer in the range [0, 70645] representing the E-UTRA Absiolute Radio-Frequency Channel Number that identifies the LTE band and carrier frequency for uplink and downlink and which is independent of channel bandwidth","number","2022-05-25","8"
"rsrp","For LTE technology, the Reference Signal Received Power, measured in dBm in the range [-144, -44]","number","2022-05-25","4"
"rsrq","For LTE technology, the Reference Signal Received Quality, measured in dB in the range [-20, -3]","number","2022-05-25","5"
"rssi","For LTE technology, the Received Signal Strength Indicator, measured in dBm in the range [-113, -51]","number","2022-05-25","11"
"rssnr","For LTE technology, the Reference Signal Signal-to-Noise Ratio, measured in dB","number","2022-05-25","3"
"timing_advance","For LTE technology, the Timing Advance, measured in Ts (1 / 30720000 seconds)","number","2022-05-25","11"
"cqi","For LTE technology, the Channel Quality Indicator, represented by a code in the range [1, 15] that maps to a modulation scheme","number","2022-05-25","2"
