"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"val_signal_csi_rsrq_db","CSI Reference Signal Received Quality (CSI-RSRQ) is defined as the ratio of N*CSI-RSRP to CSI-RSSI, where N is the number of resource blocks in the CSI-RSSI measurement bandwidth. Reference: 3GPP TS 38.215.","number","2024-07-22","4"
"val_signal_ss_rsrq_db","Synchronization Signal Reference Signal Received Quality (SS-RSRQ) is defined as the ratio of N*SS-RSRP / NR carrier RSSI, where N is the number of resource blocks in the NR carrier RSSI measurement bandwidth. Reference: 3GPP TS 38.215.","number","2024-07-22","4"
"val_signal_rssnr_db","LTE RSSNR (Reference Signal Signal-to-Noise Ratio) is a measure (in units of dB) of the LTE signal quality, calculated as the ratio between the average signal level of Reference Signals (RS) over the wideband noise power.","number","2024-07-22","3"
"val_signal_csi_snr_db","CSI signal-to-noise and interference ratio (CSI-SINR), is defined as the linear average over the power contribution (in [W]) of the resource elements carrying CSI reference signals divided by the linear average of the noise and interference power contribution (in [W]). Reference: 3GPP TS 38.215.","number","2024-07-22","4"
"val_signal_ss_snr_db","SS signal-to-noise and interference ratio (SS-SINR), is defined as the linear average over the power contribution (in [W]) of the resource elements carrying secondary synchronisation signals divided by the linear average of the noise and interference power contribution (in [W]). Reference: 3GPP TS 38.215.","number","2024-07-22","4"
"val_signal_rssi_dbm","Received signal strength indicator; this field is pre-filtered to between -113 and -51","number","2024-07-22","11"
"val_signal_timing_advance_ts","LTE Timing Advance measured in Ts. 2147483647 represents unknown.","number","2024-07-22","11"
"val_signal_cqi","Channel Quality Indicator. In LTE, there are 15 different CQI values ranging from 1 to 15 and mapping between CQI and modulation scheme.","number","2024-07-22","2"
"val_signal_wcdma_ecno_db","Energy per chip over the noise spectral density (Ec/No) as dB. The Ec/No of the measured cell in the range [-24, 1] or UNAVAILABLE.","number","2024-07-22","11"
"val_signal_asu","Received Signal Strength Indicator in Arbitrary Strength Unit (ASU) units. Asu is calculated based on 3GPP RSRP. Refer to 3GPP 27.007 (Ver 10.3.0) Sec 8.69.","number","2024-07-22","3"
"attr_place_subsubregion","Region name where test is taken. This is the third-order civil entity in a country level. Depending on the country, these are the level under counties. Not all countries display this information.","text","2024-07-22","100"
"attr_cell_nr_frequency_range","The frequency range of 5G NR. 0 = FREQUENCY_RANGE_UNKNOWN. Indicates frequency range is unknown.1 = FREQUENCY_RANGE_LOW. Indicates the frequency range is below 1GHz.2 = FREQUENCY_RANGE_MID. Indicates the frequency range is between 1GHz to 3GHz.3 = FREQUENCY_RANGE_HIGH. Indicates the frequency range is between 3GHz and 6GHz.4 = FREQUENCY_RANGE_MMWAVE. Indicates the frequency range is above 6GHz.","number","2024-07-22","3"
"attr_cell_bandwidth_khz","Cell bandwidth in kHz","number","2024-07-22","4"
"attr_cell_bandwidths_khz","An array (JSON string containing an array of integers) of cell bandwidths (in kHz) for the current serving cells.","text","2024-07-22","255"
"id_cell_primary","28-bit Cell Identity. Returns ""MAX_VALUE"", if unknown.","number","2024-07-22","10"
"is_cell_primary","TRUE if the cell site was designated by Ookla as the primary serving cell. ","text","2024-07-22","5"
"id_cell_nr","New Radio Cell Identity.","number","2024-07-22","20"
"id_cell_rci","3G Radio Network Controller ID of the cell site that the device is connected to","number","2024-07-22","10"
"id_cell_lte_enodeb","The eNodeB ID of the cell site that the device is connected to","number","2024-07-22","10"
"attr_cell_pci","LTE Physical Cell Identity. An integer to identify the physical LTE cell the user is connected to. The value is unique to the physical cell antennae rather than a specific cell tower. Valid values are 0 to 503. A value of 65535 or null indicates that the device was unable to return a PCI value.","number","2024-07-22","5"
"attr_cell_technology_standard_name","The standard name of the cellular technology associated with the cell (GSM, CDMA, WCDMA, LTE, NR)","text","2024-07-22","5"
"attr_cell_technology_name","The detailed name of the cellular technology associated with the cell (e.g., NrNSA, NrSA, LTECA, HSPA+). Available for the Speedtest data collection platform.","text","2024-07-22","25"
"attr_cell_technology_generation","The mobile network generation (2G, 3G, 4G, or 5G) of the cellular connection (derived from the connected cell info).","text","2024-07-22","45"
"attr_cell_tac","LTE Tracking Area Code. A 16 bit integer used to facilitate handoff of a device between cells. The Tracking Area Identity can be determined by prepending the MCC and MNC to the Tracking Area Code.","number","2024-07-22","9"
"attr_cell_lac","GSM, WCDMA. A 16-bit integer representing a cell's location within a given operator's system. 65535 represents unknown.","number","2024-07-22","5"
"attr_cell_psc","WCDMA (or UMTS). Primary Scrambling Code. Valid values range from 0 to 512 with 65535 representing unknown.","number","2024-07-22","5"
"is_cell_dc_nr_restricted","A flag indicating if dual-connectivity with NR is restricted in the cell.","Boolean","2024-07-22","5"
"is_cell_dc_en_restricted","A flag indicating if EUTRAN NR dual-connectivity is available in the cell.","Boolean","2024-07-22","5"
"attr_cell_frequency_channel","The Absolute Radio Frequency Channel Number (ARFCN) is a unique number given to each radio channel in GSM. The ARFCN can be used to calculate the exact frequency of the radio channel. Within the GSM900 band ARFCN 1 to 124 are used. In the GSM1800 band ARFCN 512 to 885 are used. The UTRA Absolute Radio Frequency Channel Number (UARFCN) is a unique number given to each radio channel within the frequency bands used by the UMTS UTRA. The UARFCN can be used to calculate the carrier frequency. The E-UTRA Absolute Radio Frequency Channel Number (EARFCN). In LTE, the carrier frequency in the uplink and downlink is designated by EARFCN, which ranges between 0-65535. EARFCN uniquely identify the LTE band and carrier frequency. EARFCN is independent of channel bandwidth.","number","2024-07-22","8"
"attr_cell_frequency_channel_type","The type of cell frequency channel. Values: NRARFCN, ARFCN, UARFCN, EARFCN.","text","2024-07-22","6"
"attr_cell_nr_arfcn","New Radio Absolute Radio Frequency Channel Number. Reference: 3GPP TS 38.101-1 section 5.4.2.1 NR-ARFCN and channel raster. Reference: 3GPP TS 38.101-2 section 5.4.2.1 NR-ARFCN and channel raster.","number","2024-07-22","7"
"attr_cell_lte_bands","An array of frequency band numbers supported by the cellular network the device is connected to, or empty array if not available.","text","2024-07-22","255"
"attr_cell_nr_bands","An array of frequency band numbers supported by the cellular network the device is connected to, or empty array if not available. ","text","2024-07-22","255"
"is_wifi_enabled","Indicates whether wifi is enabled on the device.","text","2024-07-22","5"
"attr_wifi_state","Indicator of the current wifi state. 0 = Disabling, 1 = Disabled, 2 = Enabling, 3 = Enabled, 4 = Unknown","number","2024-07-22","1"
"attr_wifi_rssi_dbm","Wifi RSSI signal strength.","number","2024-07-22","11"
"attr_wifi_frequency_mhz","The frequency the wifi router is connecting with when test is taken. This field is connected to wifi test results only.","number","2024-07-22","5"
"id_wifi_channel","Conversion of wifi frequency to channel number","number","2024-07-22","5"
"attr_wifi_channel_width_mhz","The width of the Wifi channel (in MHz). Note: 80 MHz + 80 MHz will be reported as 160 MHz.","number","2024-07-22","3"
"attr_wifi_rx_link_speed_mbps","The current receive link speed in Mbps reported by Android.","number","2024-07-22","11"
"attr_wifi_max_supported_rx_link_speed_mbps","The maximum supported receive link speed in Mbps reported by Android.","number","2024-07-22","11"
"attr_wifi_max_supported_tx_link_speed_mbps","The maximum supported transmit link speed in Mbps reported by Android.","number","2024-07-22","11"
"is_wifi_24ghz_band_supported","TRUE if the chipset supports 2.4GHz band.","text","2024-07-22","5"
"is_wifi_6ghz_band_supported","TRUE if the chipset supports 6GHz band. ","text","2024-07-22","5"
"is_wifi_60ghz_band_supported","TRUE if the chipset supports the 60GHz frequency band.","text","2024-07-22","5"
"attr_wifi_standard","The connection Wi-Fi standard value: unknownlegacy; Wi-Fi 802.11a/b/gWi-Fi 802.11nWi-Fi 802.11acWi-Fi 802.11axWi-Fi 802.11ad","number","2024-07-22","1"
