"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size","Platform Type"
"is_cell_nr_available","A flag indicating if NR is available in the cell.","boolean","2025-06-30","8","Mobile"
"is_cell_network_registered","Boolean to check if the cell is registered to the network.","boolean","2025-06-30","5","Mobile"
"val_signal_ecno","Get the Ec/ No (Energy per chip over the noise spectral density) as dB. Reference: TS 25.133 Section 9.1.2.3. Returns: the Ec/ No of the measured cell in the range [-24, 1] or UNAVAILABLE if unavailable","text","2025-06-30","3","Mobile"
"val_signal_rssi_dbm","The RSSI (Received Signal Strength Indicator) as dBm. This value relates to the signal strength of the cellular signal from the tower to the modem.","text","2025-06-30","4","Mobile"
"attr_signal_rscp","The RSCP (Received Signal Code Power denotes the power measured by a receiver on a particular physical communication channel. It is used as an indication of signal strength, as a handover criterion, in downlink power control, and to calculate path loss.) in ASU 0..96, 255, or UNAVAILABLE.","text","2025-06-30","4","Mobile"
"val_network_bsic_code","Retrieves the Base Station Identity Code. Supported for 2G and 3G.","text","2025-06-30","2","Mobile"
"attr_radio_access_technology_type_name","Filter field to differentiate All Cell or 5G measurement","text","2025-09-05","255","Mobile + Wifi"
"id_device_vops_support","A flag indicating if voice over PS (e.g. VoLTE) is available in the cell. For LTE1 = LTE_STATUS_NOT_AVAILABLE2 = LTE_STATUS_SUPPORTED3 = LTE_STATUS_NOT_SUPPORTEDFor NR0 = NR_STATUS_VOPS_NOT_SUPPORTED1 = NR_STATUS_VOPS_3GPP_SUPPORTED2 = NR_STATUS_VOPS_NON_3GPP_SUPPORTED","number","2025-11-17","5","Mobile+Wifi"
"attr_network_wcdma_additional_plmns","A list of additional PLMN IDs supported by this cell.","text","2025-11-17","255","Mobile+Wifi"
"attr_network_lte_additional_plmns","A list of additional LTE PLMN IDs supported by this cell.","text","2025-11-17","255","Mobile+Wifi"
"attr_network_nr_additional_plmns","A list of additional NR PLMN (Public Land Mobile Network) codes the device is allowed to register on","text","2025-11-17","255","Mobile+Wifi"
"attr_cell_nr_arfcn","New Radio Absolute Radio Frequency Channel Number. Reference: 3GPP TS 38.101-1 section 5.4.2.1 NR-ARFCN and channel raster. Reference: 3GPP TS 38.101-2 section 5.4.2.1 NR-ARFCN and channel raster.","number","2025-11-17","7","Mobile"
"attr_cell_nr_pci","New Radio Physical Cell Identity. An integer to identify the physical nr cell the user is connected to. The value is unique to the physical cell antennae rather than a specific cell tower. Valid values are 0 to 1007.","number","2025-11-17","10","Mobile"
"attr_sim_type_allocation_code","The device's Type Allocation Code (TAC) from the active SIM slot.","number","2025-11-17","8","Mobile+Wifi"
"attr_cell_secondary_arfcn","Secondary Absolute Radio Frequency Channel Number (ARFCN). The field can be used for distinguishing the NR leg.","number","2025-12-30","7","Mobile"
"id_connection_net_speed","User ISP/connection type (estimated). 0 = Unknown, 1 = Dialup, 2 = Cable/DSL, 3 = Corporate and 4=Cellular, 5 = Satellite.","number","2026-02-18","1","Mobile+Wifi"
