"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"nr_frequency_range_a","The frequency range of 5G NR. 0 = FREQUENCY_RANGE_UNKNOWN. Indicates frequency range is unknown.1 = FREQUENCY_RANGE_LOW. Indicates the frequency range is below 1GHz.2 = FREQUENCY_RANGE_MID. Indicates the frequency range is between 1GHz to 3GHz.3 = FREQUENCY_RANGE_HIGH. Indicates the frequency range is between 3GHz and 6GHz.4 = FREQUENCY_RANGE_MMWAVE. Indicates the frequency range is above 6GHz.","number","2020-10-01","1"
"nr_state_a","New Radio state of the mobile data network. Returns one of the following: 1 = RESTRICTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) but either the use of dual connectivity with NR(DCNR) is restricted or NR is not supported by the selected PLMN.2 = NOT_RESTRICTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) and both the use of dual connectivity with NR(DCNR) is not restricted and NR is supported by the selected PLMN.3 = CONNECTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) and also connected to at least one 5G cell as a secondary serving cell.0 = NONE. The device isn't camped on an LTE cell or the LTE cell doesn't support E-UTRA-NR Dual Connectivity(EN-DC).","number","2020-10-01","1"
"is_nr_telephony_sourced_a","""True"" if any of the following fields were sourced from Android's TelephonyManager rather than CellInfoNr: ss_rsrp, ss_rsrq, ss_sinr, csi_rsrp, csi_rsrq, csi_sinr, nr_level, nr_arfcn, nci, nr_pci, nr_tac, nr_mcc, nr_mnc Otherwise, ""False"".","text","2020-10-01","5"
"tr_latency_0_a","The time taken for the packet to be received after the first hop in the traceroute.","number","2020-10-01","5"
"tr_latency_1_a","The time taken for the packet to be received after the second hop in the traceroute.","number","2020-10-01","5"
"tr_ip_0_a","This is the IP address of the first hop of traceroute during a test.","text","2020-10-01","15"
"tr_ip_1_a","This is the IP address of the second hop of traceroute during a test.","text","2020-10-01","15"
"tr_hops_a","the number of hops taken on the traceroute from the client to server.","number","2020-10-01","3"
"wifi_ssid_s","The SSID of the currently connected wifi.","text","2020-10-01","50"
"wifi_speed_mbps_a","Theoretical maximum protocol speed between device and wifi router. This field is connected to wifi test results only.","number","2020-10-01","5"
"wifi_secure_a","A flag indicating whether or not security is enabled on the wifi network.  0 = No and 1 = Yes.","number","2020-10-01","3"
"wifi_rssi_a","Wifi RSSI signal strength.","number","2020-10-01","11"
"wifi_frequency_mhz_a","The frequency the wifi router is connecting with when test is taken. This field is connected to wifi test results only.","number","2020-10-01","5"
"wifi_bssid_a","The media access control address (MAC) address of the wifi Chipset running on the wireless access point to which the device is connected.","text","2020-10-01","50"
"supplemental_data","The additional field that is included in the SDK so that the user can configure and collect specific ID and other data to tie into their internal databases for customer case and other purposes. If “NULL” then this field has not been configured.","text","2020-10-01","1000"
